State,Civilian Population,Unemployed Population,Unemployment Rate
AK,363873,23742,2.781485479061808
AL,2157382,131433,4.716225270475617
AR,1332258,67093,4.348818658551927
AZ,3153040,190795,1.3065647796932551
CA,18896476,1171677,4.361652820502678
CO,2824766,109705,2.574006884070721
CT,1895829,108396,0.44780534964311614
DC,776114,53466,0.13777872838268604
DE,467111,22707,0.15021515700994906
FL,9629638,525275,3.8770047740730162
GA,4788872,285718,10.730066305657415
HI,675507,24047,0.154741421990723
IA,1701324,64200,3.736830133235201
ID,794682,33669,2.1033094705969058
IL,6507238,387964,6.231983047835029
IN,3267123,157757,4.452196567513094
KS,1489844,62103,4.091948422133837
KY,1976977,104643,7.690765605083987
LA,2162413,136750,4.690497289884701
MA,3588238,172366,0.7245318160139311
MD,6302289,320402,1.409650795225742
ME,1366735,60078,0.8233929371980118
MI,4751244,257791,5.3449383559641666
MN,2998355,110670,3.7783256758374537
MO,3077542,154426,6.259385926796914
MS,1263924,81145,6.245651165513008
MT,516849,21546,2.4245214479553847
NC,9537620,547237,6.468561005873926
ND,414216,11549,1.75448184519718
NE,1007597,30312,2.687606865236362
NH,741941,25064,0.3317762098565698
NJ,4537232,262537,1.304200661648318
NM,928000,60613,2.373034250771465
NV,1413738,95716,1.1558088437960599
NY,9644621,508467,3.4317903029999086
OH,5694306,279429,4.690655180562018
OK,1830364,80735,3.7886651572106778
OR,1978230,110821,2.309007097310617
PA,6420708,340487,3.7870909438985
RI,554487,33232,0.2817302322818794
SC,4538681,270190,3.2935551594334647
SD,449410,13959,2.3833804718567357
TN,3062709,172068,6.24482522557024
TX,13074591,581386,12.030678341560867
UT,1464175,52978,1.4065679380444818
VA,4216990,187935,6.836811542584763
VT,344520,12321,0.5660880097421466
WA,3545910,200411,2.7056114538004095
WI,3094356,140731,3.6382486804968366
WV,780433,52677,4.259649742288734
WY,304774,13088,0.9612388890168364
